sequence_id,species,label,negative_type,cv_group,split,fold
Ath_NI_01930,Ath,0,intergenic,CVG005860,all,4
Ath_NI_01931,Ath,0,intergenic,CVG005861,all,0
Ath_NI_01932,Ath,0,intergenic,CVG005862,all,1
Ath_NI_01933,Ath,0,intergenic,CVG005863,all,2
Ath_NI_01934,Ath,0,intergenic,CVG005864,all,3
Ath_NI_01935,Ath,0,intergenic,CVG005865,all,4
Ath_NI_01936,Ath,0,intergenic,CVG005866,all,0
Ath_NI_01937,Ath,0,intergenic,CVG005867,all,2
Ath_NI_01938,Ath,0,intergenic,CVG005868,all,1
Ath_NI_01939,Ath,0,intergenic,CVG005869,all,0
Ath_NI_01940,Ath,0,intergenic,CVG005870,all,3
Ath_NI_01941,Ath,0,intergenic,CVG005871,all,0
Ath_NI_01942,Ath,0,intergenic,CVG005523,all,4
Ath_NI_01943,Ath,0,intergenic,CVG005872,all,2
Ath_NI_01944,Ath,0,intergenic,CVG005873,all,2
Ath_NI_01945,Ath,0,intergenic,CVG005874,all,1
Ath_NI_01946,Ath,0,intergenic,CVG005875,all,4
Ath_NI_01947,Ath,0,intergenic,CVG005876,all,3
Ath_NI_01948,Ath,0,intergenic,CVG005877,all,1
Ath_NI_01949,Ath,0,intergenic,CVG005645,all,1
Ath_NI_01950,Ath,0,intergenic,CVG005878,all,2
Ath_NI_01951,Ath,0,intergenic,CVG005879,all,4
Ath_NI_01952,Ath,0,intergenic,CVG005880,all,0
Ath_NI_01953,Ath,0,intergenic,CVG005881,all,0
Ath_NI_01954,Ath,0,intergenic,CVG005882,all,0
Ath_NI_01955,Ath,0,intergenic,CVG005883,all,4
Ath_NI_01956,Ath,0,intergenic,CVG005884,all,4
Ath_NI_01957,Ath,0,intergenic,CVG005885,all,1
Ath_NI_01958,Ath,0,intergenic,CVG005886,all,3
Ath_NI_01959,Ath,0,intergenic,CVG005887,all,3
Ath_NI_01960,Ath,0,intergenic,CVG005888,all,4
Ath_NI_01961,Ath,0,intergenic,CVG005889,all,3
Ath_NI_01962,Ath,0,intergenic,CVG005808,all,0
Ath_NI_01963,Ath,0,intergenic,CVG005890,all,2
Ath_NI_01964,Ath,0,intergenic,CVG005891,all,4
Ath_NI_01965,Ath,0,intergenic,CVG005892,all,0
Ath_NI_01966,Ath,0,intergenic,CVG005893,all,1
Ath_NI_01967,Ath,0,intergenic,CVG005894,all,2
Ath_NI_01968,Ath,0,intergenic,CVG005895,all,0
Ath_NI_01969,Ath,0,intergenic,CVG005896,all,3
Ath_NI_01970,Ath,0,intergenic,CVG005897,all,3
Ath_NI_01971,Ath,0,intergenic,CVG005898,all,1
Ath_NI_01972,Ath,0,intergenic,CVG005899,all,4
Ath_NI_01973,Ath,0,intergenic,CVG005900,all,1
Ath_NI_01974,Ath,0,intergenic,CVG005552,all,3
Ath_NI_01975,Ath,0,intergenic,CVG005901,all,0
Ath_NI_01976,Ath,0,intergenic,CVG005902,all,2
Ath_NI_01977,Ath,0,intergenic,CVG005678,all,2
Ath_NI_01978,Ath,0,intergenic,CVG005903,all,4
Ath_NI_01979,Ath,0,intergenic,CVG005904,all,0
Ath_NI_01980,Ath,0,intergenic,CVG005905,all,4
Ath_NI_01981,Ath,0,intergenic,CVG005906,all,2
Ath_NI_01982,Ath,0,intergenic,CVG005907,all,0
Ath_NI_01983,Ath,0,intergenic,CVG005908,all,1
Ath_NI_01984,Ath,0,intergenic,CVG005909,all,1
Ath_NI_01985,Ath,0,intergenic,CVG005910,all,3
Ath_NI_01986,Ath,0,intergenic,CVG005911,all,1
Ath_NI_01987,Ath,0,intergenic,CVG005912,all,2
Ath_NI_01988,Ath,0,intergenic,CVG005603,all,4
Ath_NI_01989,Ath,0,intergenic,CVG005913,all,3
Ath_NI_01990,Ath,0,intergenic,CVG005914,all,2
Ath_NI_01991,Ath,0,intergenic,CVG005915,all,0
Ath_NI_01992,Ath,0,intergenic,CVG005916,all,3
Ath_NI_01993,Ath,0,intergenic,CVG005917,all,4
Ath_NI_01994,Ath,0,intergenic,CVG005918,all,4
Ath_NI_01995,Ath,0,intergenic,CVG005919,all,3
Ath_NI_01996,Ath,0,intergenic,CVG005920,all,0
Ath_NI_01997,Ath,0,intergenic,CVG005921,all,0
Ath_NI_01998,Ath,0,intergenic,CVG005922,all,2
Ath_NI_01999,Ath,0,intergenic,CVG005923,all,1
Ath_NI_02000,Ath,0,intergenic,CVG005924,all,3
Ath_NI_02001,Ath,0,intergenic,CVG005925,all,2
Ath_NI_02002,Ath,0,intergenic,CVG005926,all,1
Ath_NI_02003,Ath,0,intergenic,CVG005927,all,4
Ath_NI_02004,Ath,0,intergenic,CVG005928,all,2
Ath_NI_02005,Ath,0,intergenic,CVG005929,all,4
Ath_NI_02006,Ath,0,intergenic,CVG005654,all,2
Ath_NI_02007,Ath,0,intergenic,CVG005930,all,0
Ath_NI_02008,Ath,0,intergenic,CVG005931,all,1
Ath_NI_02009,Ath,0,intergenic,CVG005932,all,3
Ath_NI_02010,Ath,0,intergenic,CVG005933,all,1
Ath_NI_02011,Ath,0,intergenic,CVG005934,all,4
Ath_NI_02012,Ath,0,intergenic,CVG005935,all,2
Ath_NI_02013,Ath,0,intergenic,CVG005936,all,3
Ath_NI_02014,Ath,0,intergenic,CVG005937,all,2
Ath_NI_02015,Ath,0,intergenic,CVG005938,all,3
Ath_NI_02016,Ath,0,intergenic,CVG005939,all,4
Ath_NI_02017,Ath,0,intergenic,CVG005940,all,1
Ath_NI_02018,Ath,0,intergenic,CVG005941,all,1
Ath_NI_02019,Ath,0,intergenic,CVG005942,all,3
Ath_NI_02020,Ath,0,intergenic,CVG005943,all,2
Ath_NI_02021,Ath,0,intergenic,CVG005944,all,0
Ath_NI_02022,Ath,0,intergenic,CVG005945,all,4
Ath_NI_02023,Ath,0,intergenic,CVG005946,all,1
Ath_NI_02024,Ath,0,intergenic,CVG005947,all,1
Ath_NI_02025,Ath,0,intergenic,CVG005593,all,2
Ath_NI_02026,Ath,0,intergenic,CVG005948,all,3
Ath_NI_02027,Ath,0,intergenic,CVG005949,all,2
Ath_NI_02028,Ath,0,intergenic,CVG005950,all,2
Ath_NI_02029,Ath,0,intergenic,CVG005951,all,2
Ath_NI_02030,Ath,0,intergenic,CVG005952,all,0
Ath_NI_02031,Ath,0,intergenic,CVG005953,all,1
Ath_NI_02032,Ath,0,intergenic,CVG005954,all,0
Ath_NI_02033,Ath,0,intergenic,CVG005700,all,1
Ath_NI_02034,Ath,0,intergenic,CVG005955,all,3
Ath_NI_02035,Ath,0,intergenic,CVG005956,all,1
Ath_NI_02036,Ath,0,intergenic,CVG005957,all,0
Ath_NI_02037,Ath,0,intergenic,CVG005958,all,4
Ath_NI_02038,Ath,0,intergenic,CVG005959,all,1
Ath_NI_02039,Ath,0,intergenic,CVG005960,all,1
Ath_NI_02040,Ath,0,intergenic,CVG005961,all,2
Ath_NI_02041,Ath,0,intergenic,CVG005962,all,0
Ath_NI_02042,Ath,0,intergenic,CVG005963,all,0
Ath_NI_02043,Ath,0,intergenic,CVG005964,all,0
Ath_NI_02044,Ath,0,intergenic,CVG005965,all,4
Ath_NI_02045,Ath,0,intergenic,CVG005966,all,3
Ath_NI_02046,Ath,0,intergenic,CVG005967,all,0
Ath_NI_02047,Ath,0,intergenic,CVG005968,all,4
Ath_NI_02048,Ath,0,intergenic,CVG005969,all,1
Ath_NI_02049,Ath,0,intergenic,CVG005970,all,4
Ath_NI_02050,Ath,0,intergenic,CVG005971,all,2
Ath_NI_02051,Ath,0,intergenic,CVG005972,all,3
Ath_NI_02052,Ath,0,intergenic,CVG005973,all,4
Ath_NI_02053,Ath,0,intergenic,CVG005974,all,0
Ath_NI_02054,Ath,0,intergenic,CVG005975,all,3
Ath_NI_02055,Ath,0,intergenic,CVG005976,all,3
Ath_NI_02056,Ath,0,intergenic,CVG005977,all,4
Ath_NI_02057,Ath,0,intergenic,CVG005978,all,2
Ath_NI_02058,Ath,0,intergenic,CVG005979,all,0
Ath_NI_02059,Ath,0,intergenic,CVG005980,all,0
Ath_NI_02060,Ath,0,intergenic,CVG005981,all,2
Ath_NI_02061,Ath,0,intergenic,CVG005982,all,0
Ath_NI_02062,Ath,0,intergenic,CVG005983,all,1
Ath_NI_02063,Ath,0,intergenic,CVG005984,all,3
Ath_NI_02064,Ath,0,intergenic,CVG005985,all,2
Ath_NI_02065,Ath,0,intergenic,CVG005986,all,3
Ath_NI_02066,Ath,0,intergenic,CVG005987,all,3
Ath_NI_02067,Ath,0,intergenic,CVG005988,all,4
Ath_NI_02068,Ath,0,intergenic,CVG005989,all,0
Ath_NI_02069,Ath,0,intergenic,CVG005990,all,2
Ath_NI_02070,Ath,0,intergenic,CVG005991,all,4
Ath_NI_02071,Ath,0,intergenic,CVG005992,all,1
Ath_NI_02072,Ath,0,intergenic,CVG005993,all,1
Ath_NI_02073,Ath,0,intergenic,CVG005994,all,3
Ath_NI_02074,Ath,0,intergenic,CVG005995,all,2
Ath_NI_02075,Ath,0,intergenic,CVG005996,all,0
Ath_NI_02076,Ath,0,intergenic,CVG005997,all,4
Ath_NI_02077,Ath,0,intergenic,CVG005998,all,0
Ath_NI_02078,Ath,0,intergenic,CVG005999,all,3
Ath_NI_02079,Ath,0,intergenic,CVG006000,all,1
Ath_NI_02080,Ath,0,intergenic,CVG006001,all,0
Ath_NI_02081,Ath,0,intergenic,CVG006002,all,4
Ath_NI_02082,Ath,0,intergenic,CVG006003,all,1
Ath_NI_02083,Ath,0,intergenic,CVG006004,all,4
Ath_NI_02084,Ath,0,intergenic,CVG006005,all,2
Ath_NI_02085,Ath,0,intergenic,CVG006006,all,2
Ath_NI_02086,Ath,0,intergenic,CVG006007,all,0
Ath_NI_02087,Ath,0,intergenic,CVG006008,all,1
Ath_NI_02088,Ath,0,intergenic,CVG006009,all,4
Ath_NI_02089,Ath,0,intergenic,CVG006010,all,1
Ath_NI_02090,Ath,0,intergenic,CVG006011,all,4
Ath_NI_02091,Ath,0,intergenic,CVG006012,all,2
Ath_NI_02092,Ath,0,intergenic,CVG006013,all,3
Ath_NI_02093,Ath,0,intergenic,CVG006014,all,4
Ath_NI_02094,Ath,0,intergenic,CVG006015,all,2
Ath_NI_02095,Ath,0,intergenic,CVG006016,all,3
Ath_NI_02096,Ath,0,intergenic,CVG006017,all,2
Ath_NI_02097,Ath,0,intergenic,CVG006018,all,4
Ath_NI_02098,Ath,0,intergenic,CVG006019,all,2
Ath_NI_02099,Ath,0,intergenic,CVG006020,all,0
Ath_NI_02100,Ath,0,intergenic,CVG006021,all,2
Ath_NI_02101,Ath,0,intergenic,CVG006022,all,1
Ath_NI_02102,Ath,0,intergenic,CVG006023,all,3
Ath_NI_02103,Ath,0,intergenic,CVG006024,all,4
Ath_NI_02104,Ath,0,intergenic,CVG006025,all,0
Ath_NI_02105,Ath,0,intergenic,CVG006026,all,4
Ath_NI_02106,Ath,0,intergenic,CVG006027,all,2
Ath_NI_02107,Ath,0,intergenic,CVG006028,all,3
Ath_NI_02108,Ath,0,intergenic,CVG006029,all,1
Ath_NI_02109,Ath,0,intergenic,CVG006030,all,0
Ath_NI_02110,Ath,0,intergenic,CVG006031,all,4
Ath_NI_02111,Ath,0,intergenic,CVG006032,all,0
Ath_NI_02112,Ath,0,intergenic,CVG006033,all,2
Ath_NI_02113,Ath,0,intergenic,CVG006034,all,1
Ath_NI_02114,Ath,0,intergenic,CVG006035,all,4
Ath_NI_02115,Ath,0,intergenic,CVG006036,all,0
Ath_NI_02116,Ath,0,intergenic,CVG006037,all,3
Ath_NI_02117,Ath,0,intergenic,CVG005930,all,0
Ath_NI_02118,Ath,0,intergenic,CVG006038,all,3
Ath_NI_02119,Ath,0,intergenic,CVG006039,all,4
Ath_NI_02120,Ath,0,intergenic,CVG006040,all,1
Ath_NI_02121,Ath,0,intergenic,CVG006041,all,3
Ath_NI_02122,Ath,0,intergenic,CVG006042,all,3
Ath_NI_02123,Ath,0,intergenic,CVG006043,all,2
Ath_NI_02124,Ath,0,intergenic,CVG006044,all,0
Ath_NI_02125,Ath,0,intergenic,CVG006045,all,2
Ath_NI_02126,Ath,0,intergenic,CVG006046,all,1
Ath_NI_02127,Ath,0,intergenic,CVG006047,all,3
Ath_NI_02128,Ath,0,intergenic,CVG006048,all,1
Ath_NI_02129,Ath,0,intergenic,CVG006049,all,0
Ath_NI_02130,Ath,0,intergenic,CVG006050,all,3
Ath_NI_02131,Ath,0,intergenic,CVG006051,all,4
Ath_NI_02132,Ath,0,intergenic,CVG006052,all,2
Ath_NI_02133,Ath,0,intergenic,CVG006053,all,0
Ath_NI_02134,Ath,0,intergenic,CVG006054,all,4
Ath_NI_02135,Ath,0,intergenic,CVG006055,all,4
Ath_NI_02136,Ath,0,intergenic,CVG006056,all,4
Ath_NI_02137,Ath,0,intergenic,CVG006057,all,2
Ath_NI_02138,Ath,0,intergenic,CVG006058,all,0
Ath_NI_02139,Ath,0,intergenic,CVG005527,all,1
Ath_NI_02140,Ath,0,intergenic,CVG006059,all,1
Ath_NI_02141,Ath,0,intergenic,CVG006060,all,2
Ath_NI_02142,Ath,0,intergenic,CVG006061,all,4
Ath_NI_02143,Ath,0,intergenic,CVG006062,all,3
Ath_NI_02144,Ath,0,intergenic,CVG006063,all,2
Ath_NI_02145,Ath,0,intergenic,CVG005503,all,3
Ath_NI_02146,Ath,0,intergenic,CVG006064,all,1
Ath_NI_02147,Ath,0,intergenic,CVG006065,all,0
Ath_NI_02148,Ath,0,intergenic,CVG006066,all,3
Ath_NI_02149,Ath,0,intergenic,CVG006067,all,2
Ath_NI_02150,Ath,0,intergenic,CVG006068,all,1
Ath_NI_02151,Ath,0,intergenic,CVG006069,all,2
Ath_NI_02152,Ath,0,intergenic,CVG006070,all,4
Ath_NI_02153,Ath,0,intergenic,CVG006071,all,2
Ath_NI_02154,Ath,0,intergenic,CVG005551,all,2
Ath_NI_02155,Ath,0,intergenic,CVG006072,all,3
Ath_NI_02156,Ath,0,intergenic,CVG006073,all,4
Ath_NI_02157,Ath,0,intergenic,CVG006074,all,1
Ath_NI_02158,Ath,0,intergenic,CVG006075,all,4
Ath_NI_02159,Ath,0,intergenic,CVG006076,all,0
Ath_NI_02160,Ath,0,intergenic,CVG005831,all,4
Ath_NI_02161,Ath,0,intergenic,CVG006077,all,4
Ath_NI_02162,Ath,0,intergenic,CVG006078,all,1
Ath_NI_02163,Ath,0,intergenic,CVG006079,all,0
Ath_NI_02164,Ath,0,intergenic,CVG006080,all,1
Ath_NI_02165,Ath,0,intergenic,CVG004576,all,2
Ath_NI_02166,Ath,0,intergenic,CVG006081,all,3
Ath_NI_02167,Ath,0,intergenic,CVG006082,all,1
Ath_NI_02168,Ath,0,intergenic,CVG005939,all,4
Ath_NI_02169,Ath,0,intergenic,CVG006083,all,0
Ath_NI_02170,Ath,0,intergenic,CVG006084,all,3
Ath_NI_02171,Ath,0,intergenic,CVG006085,all,1
Ath_NI_02172,Ath,0,intergenic,CVG006086,all,3
Ath_NI_02173,Ath,0,intergenic,CVG006087,all,2
Ath_NI_02174,Ath,0,intergenic,CVG006088,all,4
Ath_NI_02175,Ath,0,intergenic,CVG006089,all,3
Ath_NI_02176,Ath,0,intergenic,CVG006090,all,0
Ath_NI_02177,Ath,0,intergenic,CVG006091,all,1
Ath_NI_02178,Ath,0,intergenic,CVG006092,all,0
Ath_NI_02179,Ath,0,intergenic,CVG006093,all,0
Ath_NI_02180,Ath,0,intergenic,CVG006094,all,1
Ath_NI_02181,Ath,0,intergenic,CVG006095,all,1
Ath_NI_02182,Ath,0,intergenic,CVG006096,all,2
Ath_NI_02183,Ath,0,intergenic,CVG006097,all,0
Ath_NI_02184,Ath,0,intergenic,CVG006098,all,0
Ath_NI_02185,Ath,0,intergenic,CVG006099,all,2
Ath_NI_02186,Ath,0,intergenic,CVG006100,all,0
Ath_NI_02187,Ath,0,intergenic,CVG006101,all,0
Ath_NI_02188,Ath,0,intergenic,CVG006102,all,4
Ath_NI_02189,Ath,0,intergenic,CVG006103,all,2
Ath_NI_02190,Ath,0,intergenic,CVG006104,all,1
Ath_NI_02191,Ath,0,intergenic,CVG006105,all,3
Ath_NI_02192,Ath,0,intergenic,CVG006106,all,1
Ath_NI_02193,Ath,0,intergenic,CVG006107,all,3
Ath_NI_02194,Ath,0,intergenic,CVG006108,all,2
Ath_NI_02195,Ath,0,intergenic,CVG006109,all,4
Ath_NI_02196,Ath,0,intergenic,CVG006110,all,3
Ath_NI_02197,Ath,0,intergenic,CVG006111,all,2
Ath_NI_02198,Ath,0,intergenic,CVG006112,all,1
Ath_NI_02199,Ath,0,intergenic,CVG006113,all,0
Ath_NI_02200,Ath,0,intergenic,CVG006114,all,0
Ath_NI_02201,Ath,0,intergenic,CVG006115,all,3
Ath_NI_02202,Ath,0,intergenic,CVG006116,all,4
Ath_NI_02203,Ath,0,intergenic,CVG006117,all,1
Ath_NI_02204,Ath,0,intergenic,CVG006118,all,2
Ath_NI_02205,Ath,0,intergenic,CVG006119,all,1
Ath_NI_02206,Ath,0,intergenic,CVG006120,all,2
Ath_NI_02207,Ath,0,intergenic,CVG006121,all,3
Ath_NI_02208,Ath,0,intergenic,CVG006122,all,4
Ath_NI_02209,Ath,0,intergenic,CVG006123,all,2
Ath_NI_02210,Ath,0,intergenic,CVG006124,all,3
Ath_NI_02211,Ath,0,intergenic,CVG006125,all,4
Ath_NI_02212,Ath,0,intergenic,CVG006126,all,4
Ath_NI_02213,Ath,0,intergenic,CVG006127,all,0
Ath_NI_02214,Ath,0,intergenic,CVG006128,all,0
Ath_NI_02215,Ath,0,intergenic,CVG006129,all,1
Ath_NI_02216,Ath,0,intergenic,CVG006127,all,0
Ath_NI_02217,Ath,0,intergenic,CVG006130,all,0
Ath_NI_02218,Ath,0,intergenic,CVG006131,all,3
Ath_NI_02219,Ath,0,intergenic,CVG006132,all,2
Ath_NI_02220,Ath,0,intergenic,CVG006133,all,2
Ath_NI_02221,Ath,0,intergenic,CVG006134,all,4
Ath_NI_02222,Ath,0,intergenic,CVG006135,all,3
Ath_NI_02223,Ath,0,intergenic,CVG006136,all,0
Ath_NI_02224,Ath,0,intergenic,CVG006137,all,4
Ath_NI_02225,Ath,0,intergenic,CVG006138,all,4
Ath_NI_02226,Ath,0,intergenic,CVG006139,all,1
Ath_NI_02227,Ath,0,intergenic,CVG006140,all,1
Ath_NI_02228,Ath,0,intergenic,CVG006141,all,2
Ath_NI_02229,Ath,0,intergenic,CVG006142,all,2
Ath_NI_02230,Ath,0,intergenic,CVG006143,all,2
Ath_NI_02231,Ath,0,intergenic,CVG006144,all,4
Ath_NI_02232,Ath,0,intergenic,CVG006145,all,0
Ath_NI_02233,Ath,0,intergenic,CVG006146,all,3
Ath_NI_02234,Ath,0,intergenic,CVG006147,all,3
Ath_NI_02235,Ath,0,intergenic,CVG006148,all,2
Ath_NI_02236,Ath,0,intergenic,CVG006149,all,4
Ath_NI_02237,Ath,0,intergenic,CVG006150,all,4
Ath_NI_02238,Ath,0,intergenic,CVG006151,all,1
Ath_NI_02239,Ath,0,intergenic,CVG006152,all,4
Ath_NI_02240,Ath,0,intergenic,CVG006153,all,2
Ath_NI_02241,Ath,0,intergenic,CVG006154,all,3
Ath_NI_02242,Ath,0,intergenic,CVG006155,all,0
Ath_NI_02243,Ath,0,intergenic,CVG006156,all,1
Ath_NI_02244,Ath,0,intergenic,CVG006157,all,3
Ath_NI_02245,Ath,0,intergenic,CVG006158,all,4
Ath_NI_02246,Ath,0,intergenic,CVG006159,all,0
Ath_NI_02247,Ath,0,intergenic,CVG006160,all,1
Ath_NI_02248,Ath,0,intergenic,CVG006161,all,2
Ath_NI_02249,Ath,0,intergenic,CVG006162,all,3
Ath_NI_02250,Ath,0,intergenic,CVG006163,all,1
Ath_NI_02251,Ath,0,intergenic,CVG006164,all,4
Ath_NI_02252,Ath,0,intergenic,CVG006165,all,1
Ath_NI_02253,Ath,0,intergenic,CVG006166,all,1
Ath_NI_02254,Ath,0,intergenic,CVG006167,all,3
Ath_NI_02255,Ath,0,intergenic,CVG006168,all,3
Ath_NI_02256,Ath,0,intergenic,CVG006169,all,2
Ath_NI_02257,Ath,0,intergenic,CVG006170,all,2
Ath_NI_02258,Ath,0,intergenic,CVG006171,all,4
Ath_NI_02259,Ath,0,intergenic,CVG006172,all,2
Ath_NI_02260,Ath,0,intergenic,CVG006173,all,3
Ath_NI_02261,Ath,0,intergenic,CVG006174,all,0
Ath_NI_02262,Ath,0,intergenic,CVG006175,all,1
Ath_NI_02263,Ath,0,intergenic,CVG006176,all,3
Ath_NI_02264,Ath,0,intergenic,CVG006177,all,2
Ath_NI_02265,Ath,0,intergenic,CVG006178,all,3
Ath_NI_02266,Ath,0,intergenic,CVG006179,all,3
Ath_NI_02267,Ath,0,intergenic,CVG006180,all,4
Ath_NI_02268,Ath,0,intergenic,CVG006181,all,0
Ath_NI_02269,Ath,0,intergenic,CVG006146,all,3
Ath_NI_02270,Ath,0,intergenic,CVG006182,all,0
Ath_NI_02271,Ath,0,intergenic,CVG006183,all,1
Ath_NI_02272,Ath,0,intergenic,CVG006184,all,2
Ath_NI_02273,Ath,0,intergenic,CVG006185,all,4
Ath_NI_02274,Ath,0,intergenic,CVG006186,all,4
Ath_NI_02275,Ath,0,intergenic,CVG006187,all,0
Ath_NI_02276,Ath,0,intergenic,CVG006188,all,1
Ath_NI_02277,Ath,0,intergenic,CVG006189,all,0
Ath_NI_02278,Ath,0,intergenic,CVG006190,all,3
Ath_NI_02279,Ath,0,intergenic,CVG006191,all,2
Ath_NI_02280,Ath,0,intergenic,CVG006192,all,0
Ath_NI_02281,Ath,0,intergenic,CVG006193,all,0
Ath_NI_02282,Ath,0,intergenic,CVG006194,all,1
Ath_NI_02283,Ath,0,intergenic,CVG006195,all,2
Ath_NI_02284,Ath,0,intergenic,CVG006196,all,3
Ath_NI_02285,Ath,0,intergenic,CVG006197,all,0
Ath_NI_02286,Ath,0,intergenic,CVG006198,all,4
Ath_NI_02287,Ath,0,intergenic,CVG006199,all,0
Ath_NI_02288,Ath,0,intergenic,CVG006200,all,1
Ath_NI_02289,Ath,0,intergenic,CVG006201,all,2
Ath_NI_02290,Ath,0,intergenic,CVG006202,all,1
Ath_NI_02291,Ath,0,intergenic,CVG006203,all,4
Ath_NI_02292,Ath,0,intergenic,CVG006204,all,3
Ath_NI_02293,Ath,0,intergenic,CVG006205,all,0
Ath_NI_02294,Ath,0,intergenic,CVG006206,all,4
Ath_NI_02295,Ath,0,intergenic,CVG006207,all,1
Ath_NI_02296,Ath,0,intergenic,CVG006208,all,0
Ath_NI_02297,Ath,0,intergenic,CVG006209,all,3
Ath_NI_02298,Ath,0,intergenic,CVG006210,all,4
Ath_NI_02299,Ath,0,intergenic,CVG006211,all,2
Ath_NI_02300,Ath,0,intergenic,CVG006212,all,0
Ath_NI_02301,Ath,0,intergenic,CVG006213,all,4
Ath_NI_02302,Ath,0,intergenic,CVG006214,all,0
Ath_NI_02303,Ath,0,intergenic,CVG006215,all,3
Ath_NI_02304,Ath,0,intergenic,CVG006216,all,2
Ath_NI_02305,Ath,0,intergenic,CVG006217,all,4
Ath_NI_02306,Ath,0,intergenic,CVG006218,all,2
Ath_NI_02307,Ath,0,intergenic,CVG006219,all,3
Ath_NI_02308,Ath,0,intergenic,CVG006220,all,0
Ath_NI_02309,Ath,0,intergenic,CVG006221,all,4
Ath_NI_02310,Ath,0,intergenic,CVG006222,all,1
Ath_NI_02311,Ath,0,intergenic,CVG006223,all,2
Ath_NI_02312,Ath,0,intergenic,CVG006224,all,1
Ath_NI_02313,Ath,0,intergenic,CVG006225,all,1
Ath_NI_02314,Ath,0,intergenic,CVG006226,all,1
Ath_NI_02315,Ath,0,intergenic,CVG006227,all,2
Ath_NI_02316,Ath,0,intergenic,CVG006228,all,3
Ath_NI_02317,Ath,0,intergenic,CVG006229,all,4
Ath_NI_02318,Ath,0,intergenic,CVG006230,all,0
Ath_NI_02319,Ath,0,intergenic,CVG006231,all,3
Ath_NI_02320,Ath,0,intergenic,CVG006232,all,4
Ath_NI_02321,Ath,0,intergenic,CVG006233,all,1
Ath_NI_02322,Ath,0,intergenic,CVG006234,all,0
Ath_NI_02323,Ath,0,intergenic,CVG006235,all,2
Ath_NI_02324,Ath,0,intergenic,CVG006236,all,3
Ath_NI_02325,Ath,0,intergenic,CVG006237,all,0
Ath_NI_02326,Ath,0,intergenic,CVG006238,all,3
Ath_NI_02327,Ath,0,intergenic,CVG006239,all,3
Ath_NI_02328,Ath,0,intergenic,CVG006240,all,0
Ath_NI_02329,Ath,0,intergenic,CVG006241,all,4
Ath_NI_02330,Ath,0,intergenic,CVG006242,all,0
Ath_NI_02331,Ath,0,intergenic,CVG006243,all,3
Ath_NI_02332,Ath,0,intergenic,CVG006244,all,2
Ath_NI_02333,Ath,0,intergenic,CVG006245,all,1
Ath_NI_02334,Ath,0,intergenic,CVG006246,all,0
Ath_NI_02335,Ath,0,intergenic,CVG006247,all,1
Ath_NI_02336,Ath,0,intergenic,CVG006248,all,1
Ath_NI_02337,Ath,0,intergenic,CVG006249,all,4
Ath_NI_02338,Ath,0,intergenic,CVG006250,all,2
Ath_NI_02339,Ath,0,intergenic,CVG006251,all,1
Ath_NI_02340,Ath,0,intergenic,CVG006252,all,1
Ath_NI_02341,Ath,0,intergenic,CVG006253,all,4
Ath_NI_02342,Ath,0,intergenic,CVG006254,all,2
Ath_NI_02343,Ath,0,intergenic,CVG006255,all,3
Ath_NI_02344,Ath,0,intergenic,CVG006256,all,4
Ath_NI_02345,Ath,0,intergenic,CVG006257,all,4
Ath_NI_02346,Ath,0,intergenic,CVG006099,all,2
Ath_NI_02347,Ath,0,intergenic,CVG006258,all,0
Ath_NI_02348,Ath,0,intergenic,CVG006259,all,3
Ath_NI_02349,Ath,0,intergenic,CVG006260,all,1
Ath_NI_02350,Ath,0,intergenic,CVG006261,all,2
Ath_NI_02351,Ath,0,intergenic,CVG006262,all,0
Ath_NI_02352,Ath,0,intergenic,CVG006263,all,0
Ath_NI_02353,Ath,0,intergenic,CVG006264,all,3
Ath_NI_02354,Ath,0,intergenic,CVG006265,all,1
Ath_NI_02355,Ath,0,intergenic,CVG006266,all,0
Ath_NI_02356,Ath,0,intergenic,CVG006267,all,1
Ath_NI_02357,Ath,0,intergenic,CVG006268,all,2
Ath_NI_02358,Ath,0,intergenic,CVG006269,all,2
Ath_NI_02359,Ath,0,intergenic,CVG006270,all,4
Ath_NI_02360,Ath,0,intergenic,CVG006271,all,3
Ath_NI_02361,Ath,0,intergenic,CVG006272,all,1
Ath_NI_02362,Ath,0,intergenic,CVG006273,all,3
Ath_NI_02363,Ath,0,intergenic,CVG006274,all,0
Ath_NI_02364,Ath,0,intergenic,CVG006275,all,3
Ath_NI_02365,Ath,0,intergenic,CVG006276,all,3
Ath_NI_02366,Ath,0,intergenic,CVG006277,all,1
Ath_NI_02367,Ath,0,intergenic,CVG006278,all,2
Ath_NI_02368,Ath,0,intergenic,CVG006279,all,1
Ath_NI_02369,Ath,0,intergenic,CVG006280,all,0
Ath_NI_02370,Ath,0,intergenic,CVG006281,all,4
Ath_NI_02371,Ath,0,intergenic,CVG006282,all,2
Ath_NI_02372,Ath,0,intergenic,CVG006283,all,2
Ath_NI_02373,Ath,0,intergenic,CVG006284,all,2
Ath_NI_02374,Ath,0,intergenic,CVG006285,all,4
Ath_NI_02375,Ath,0,intergenic,CVG006286,all,2
Ath_NI_02376,Ath,0,intergenic,CVG006287,all,3
Ath_NI_02377,Ath,0,intergenic,CVG006288,all,4
Ath_NI_02378,Ath,0,intergenic,CVG006289,all,0
Ath_NI_02379,Ath,0,intergenic,CVG006290,all,4
